Project,Relation Type,SATD A,SATD B
Drill,SATD Duplication,"[2017-09-12 19:57:04][ilooner][pull:summary][940]
DRILL-5752 Speed Up Unit Tests add Test Categories
","[2017-08-30 17:25:20][Timothy Farkas][issue:summary][DRILL-5752:13098611]
Speed Up Unit Tests"
Brooklyn Server,SATD Repayment,"[2013-01-28 17:27:45][Aled Sage][code-comment][8b66a8930784885a12980d6ed3eb651e79be4319]
 In jenkins for things like testRepeatedResizeUpStabilizationDelayTakesMaxSustainedDesired, which runs
 a time-sensitive test 100 times, it fails periodically due to things taking too long. This is most
 likely caused by a full (slow) GC kicking in during the test.

 By GC'ing here, we attempt to avoid a GC in the middle of the time-sensitive test
","[2013-01-28 17:27:45][Aled Sage][commit][8b66a8930784885a12980d6ed3eb651e79be4319]
AutoScalerPolicyTest repeated test: gc in setup

- Try to fix jenkins failure where the ""repeated"" test, which runs a
  time-sensitive test 100 consecutive times, fails occasionally due to
  scale out/back taking a couple of seconds longer than expected. I
  suspect it fails due to a slow GC in the middle of the test. 
  Therefore GC as part of setup for integration tests."
Incubator Pinot,SATD Repayment,"[2017-07-24 16:27:14][Xiaotian Jiang][code-comment][d6e37665863bdbe10138d730f00200cbcd2e0c1b]
 Disabled because with multiple servers, there is no way to check and guarantee that all servers get all segments
 reloaded, which cause the flakiness of the tests.
","[2017-07-24 16:27:14][Xiaotian Jiang][commit][d6e37665863bdbe10138d730f00200cbcd2e0c1b]
Fix the flakiness of OfflineClusterIntegrationTest (#1700)

With multiple servers, there is no way to check and guarantee that all servers get all segments reloaded, which cause the flakiness of the tests.
To fix that, in OfflineClusterIntegrationTest, only start one server.
Added a MultiNodesOfflineClusterIntegrationTest to keep the same coverage for multiple brokers and multiple servers."
Carbondata,SATD Duplication,"[2016-11-03 08:10:54][lion-x][pull:summary][288]
[CARBONDATA-369]Remove Useless Files in carbondata.scan.expression
","[2016-11-03 08:13:33][Lionx][issue:summary][CARBONDATA-369:13017547]
Remove Useless Files in carbondata.scan.expression"
Arrow,No Relation,"[2018-08-09 13:31:10][Wes McKinney][code-comment][78a4d651221c399c8e9779efa96e324a9caaa09c]
 This is overridden in several subclasses, but if an Unbox implementation
 is defined, it will be used here
","[2018-08-08 21:22:42][wesm][pull:comment][2366:208740429]
Yes, I think so. When mixing scalars and collections we can bail out early; I think exiting after 1000 elements if possible is better than visiting all 10,000,000. Maybe such cases are esoteric but preventing this worst case scenario is worth a bit of extra effort IMHO"
Groovy,SATD Repayment,"[2019-08-26 13:50:12][Daniel Sun][code-comment(deleted)][5a7fa7357bf587c317825df0de907e0d512e8b5d]
 TODO: Convert to functional interface?
","[2019-08-26 13:50:12][Daniel Sun][commit][5a7fa7357bf587c317825df0de907e0d512e8b5d]
Minor refactoring: Convert `ClassgenCallback` to functional interface"
Hbase,SATD Repayment,"[2017-12-14 15:59:41][zhangduo][commit][7466e64abb2c68c8a0f40f6051e4b5bf550e69bd]
HBASE-19510 TestDistributedLogSplitting is flakey for AsyncFSWAL
","[2017-12-14 02:33:36][Duo Zhang][issue:summary][HBASE-19510:13124863]
TestDistributedLogSplitting is flakey for AsyncFSWAL"
Hawq,SATD Duplication,"[2016-06-08 13:53:30][Paul Guo][code-comment][fe22ef4288fd9f08db67512740004922f7d71f51]

	 * This is a hack: We added the snappy support for row oriented storage, however
	 * to make the feature friendly to upgradation in short term, we decide to not
	 * modify the system table to implement this. Following ugly hack is to
	 * complete this. Let's remove this piece of code after snappy support is
	 * added to the related system tables.
","[2016-06-08 05:21:23][Paul Guo][issue:summary][HAWQ-793:12976707]
In HAWQ-774 we added the snappy support for the row oriented storage, however to make the change more friendly to upgradation, we will need to temporarily hack to keep the related metadata unmodified."
Beam,No Relation,"[2018-07-25 15:31:35][Ankur][commit][75e3986171ce68a6fc4c42689698576c407f05b1]
[BEAM-4176] Initial implementation for running portable runner tests (#5935)

* TestPortableRunner for validate runner tests

* Dynamically assign jobServer host and port.

* Documentation formatting

* Disable Metrics for Flink Portable Runner

* Change to gradle files and check for pipeline completion for flink validates runner test

* Review Comments

* Adding javadoc for default option factory

* Update lambda to handle 0 method args.

* Fix simple typo

* Use varargs in array based method declaration.

* Fixing Log message
","[2018-07-23 18:15:07][lukecwik][pull:comment][5935:204504520]
nit: use a lambda and the implicit `it` parameter as it allows you to call the method without any paramemters or with parameters"
Pulsar,SATD Repayment,"[2020-11-10 22:18:45][Renkai][commit][853bcf924ed7aa1ced63e7b985de2167c1820df1]
Gradually make `pulsar-broker` conform the project style check (#8501)

Make `checkstyle-pulsar-broker.xml` gradually the same with `checkstyle.xml` and keep style-check passed

* removed trailing white spaces
* replaced tabs with white spaces
* added `package-info.java`
","[2020-11-10 08:30:37][Renkai][pull:summary][8501]
Make `checkstyle-pulsar-broker.xml` gradually the same with `checkstyle.xml` and keep style-check passed

* removed trailing white spaces
* replaced tabs with white spaces
* added `package-info.java`"
